date,area,price_type,avg_price_gbp,mom_change_pct,yoy_change_pct,days_to_find_buyer,bank_rate_pct,source_url,collected_as_of,price_lag1,mom_lag1,price_lag2,mom_lag2,price_lag3,mom_lag3,fwd_1m_return_pct,fwd_1m_end_date,fwd_3m_return_pct,fwd_3m_end_date
2026-04-01,North West,asking_rightmove,271750,0.4,2.0,60,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,270656,1.2,267375,0.3,266463,0.6,1.9209,2026-05-01,1.2578,2026-07-01
2026-05-01,North West,asking_rightmove,276970,1.9,2.6,57,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,271750,0.4,270656,1.2,267375,0.3,-0.9355,2026-06-01,,
2026-06-01,North West,asking_rightmove,274379,-0.9,0.7,57,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,276970,1.9,271750,0.4,270656,1.2,0.2876,2026-07-01,,
2026-07-01,North West,asking_rightmove,275168,0.3,2.3,57,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,274379,-0.9,276970,1.9,271750,0.4,,,,
2025-08-01,North East,asking_rightmove,194799,-1.0,1.1,52,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,-0.0318,2025-09-01,-0.2731,2025-11-01
2025-09-01,North East,asking_rightmove,194737,0.0,0.5,54,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,194799,-1.0,,,,,0.0436,2025-10-01,-5.2871,2025-12-01
2025-10-01,North East,asking_rightmove,194822,0.01,1.1,54,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,194737,0.0,194799,-1.0,,,-0.2849,2025-11-01,1.2535,2026-01-01
2025-11-01,North East,asking_rightmove,194267,-0.3,2.4,55,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,194822,0.01,194737,0.0,194799,-1.0,-5.058,2025-12-01,-0.8756,2026-02-01
2025-12-01,North East,asking_rightmove,184441,-5.1,-0.8,59,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,194267,-0.3,194822,0.01,194737,0.0,6.9524,2026-01-01,5.6338,2026-03-01
2026-01-01,North East,asking_rightmove,197264,7.0,3.4,64,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,184441,-5.1,194267,-0.3,194822,0.01,-2.3816,2026-02-01,0.584,2026-04-01
2026-02-01,North East,asking_rightmove,192566,-2.4,1.3,67,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,197264,7.0,184441,-5.1,194267,-0.3,1.1767,2026-03-01,4.2702,2026-05-01
2026-03-01,North East,asking_rightmove,194832,1.2,0.6,60,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,192566,-2.4,197264,7.0,184441,-5.1,1.8395,2026-04-01,3.1078,2026-06-01
2026-04-01,North East,asking_rightmove,198416,1.84,2.16,55,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,194832,1.2,192566,-2.4,197264,7.0,1.196,2026-05-01,-0.7666,2026-07-01
2026-05-01,North East,asking_rightmove,200789,1.2,2.7,50,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,198416,1.84,194832,1.2,192566,-2.4,0.0488,2026-06-01,,
2026-06-01,North East,asking_rightmove,200887,0.0,3.2,52,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,200789,1.2,198416,1.84,194832,1.2,-1.9872,2026-07-01,,
2026-07-01,North East,asking_rightmove,196895,-2.0,0.0,53,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,200887,0.0,200789,1.2,198416,1.84,,,,
2025-08-01,London,asking_rightmove,666983,-2.6,-1.6,66,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,1.2131,2025-09-01,0.3084,2025-11-01
2025-09-01,London,asking_rightmove,675074,1.2,-1.1,71,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,666983,-2.6,,,,,1.544,2025-10-01,-2.0573,2025-12-01
2025-10-01,London,asking_rightmove,685497,1.5,-1.4,70,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,675074,1.2,666983,-2.6,,,-2.4007,2025-11-01,-0.8337,2026-01-01
2025-11-01,London,asking_rightmove,669040,-2.4,-2.1,72,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,685497,1.5,675074,1.2,666983,-2.6,-1.1739,2025-12-01,1.8313,2026-02-01
2025-12-01,London,asking_rightmove,661186,-1.2,0.0,78,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,669040,-2.4,685497,1.5,675074,1.2,2.8125,2026-01-01,2.9948,2026-03-01
2026-01-01,London,asking_rightmove,679782,2.8,0.9,87,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,661186,-1.2,669040,-2.4,685497,1.5,0.2221,2026-02-01,0.0537,2026-04-01
2026-02-01,London,asking_rightmove,681292,0.2,-1.1,89,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,679782,2.8,661186,-1.2,669040,-2.4,-0.0448,2026-03-01,0.5952,2026-05-01
2026-03-01,London,asking_rightmove,680987,0.0,-2.1,80,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,681292,0.2,679782,2.8,661186,-1.2,-0.1234,2026-04-01,0.8947,2026-06-01
2026-04-01,London,asking_rightmove,680147,-0.12,-2.72,74,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,680987,0.0,681292,0.2,679782,2.8,0.7645,2026-05-01,-0.5733,2026-07-01
2026-05-01,London,asking_rightmove,685347,0.8,-2.4,71,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,680147,-0.12,680987,0.0,681292,0.2,0.2529,2026-06-01,,
2026-06-01,London,asking_rightmove,687080,0.3,-1.2,68,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,685347,0.8,680147,-0.12,680987,0.0,-1.5765,2026-07-01,,
2026-07-01,London,asking_rightmove,676248,-1.6,-1.2,70,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,687080,0.3,685347,0.8,680147,-0.12,,,,
2025-08-01,East of England,asking_rightmove,420729,-0.4,0.6,66,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,-0.4497,2025-09-01,-1.5376,2025-11-01
2025-09-01,East of England,asking_rightmove,418837,-0.4,0.2,66,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,420729,-0.4,,,,,0.3383,2025-10-01,-4.3848,2025-12-01
2025-10-01,East of England,asking_rightmove,420254,0.3,-0.6,67,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,418837,-0.4,420729,-0.4,,,-1.4263,2025-11-01,-1.832,2026-01-01
2025-11-01,East of England,asking_rightmove,414260,-1.4,-0.6,70,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,420254,0.3,418837,-0.4,420729,-0.4,-3.3283,2025-12-01,0.1702,2026-02-01
2025-12-01,East of England,asking_rightmove,400472,-3.3,-1.7,74,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,414260,-1.4,420254,0.3,418837,-0.4,3.0172,2026-01-01,4.7382,2026-03-01
2026-01-01,East of England,asking_rightmove,412555,3.0,-0.3,79,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,400472,-3.3,414260,-1.4,420254,0.3,0.5842,2026-02-01,2.1044,2026-04-01
2026-02-01,East of England,asking_rightmove,414965,0.6,0.2,83,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,412555,3.0,400472,-3.3,414260,-1.4,1.0801,2026-03-01,2.685,2026-05-01
2026-03-01,East of England,asking_rightmove,419447,1.1,-0.2,76,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,414965,0.6,412555,3.0,400472,-3.3,0.4268,2026-04-01,0.7271,2026-06-01
2026-04-01,East of England,asking_rightmove,421237,0.43,-0.88,69,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,419447,1.1,414965,0.6,412555,3.0,1.1561,2026-05-01,-0.4059,2026-07-01
2026-05-01,East of England,asking_rightmove,426107,1.2,-0.1,66,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,421237,0.43,419447,1.1,414965,0.6,-0.8472,2026-06-01,,
2026-06-01,East of England,asking_rightmove,422497,-0.8,-0.6,64,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,426107,1.2,421237,0.43,419447,1.1,-0.703,2026-07-01,,
2026-07-01,East of England,asking_rightmove,419527,-0.7,-0.7,66,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,422497,-0.8,426107,1.2,421237,0.43,,,,
2025-08-01,East Midlands,asking_rightmove,291440,-0.3,1.1,69,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,0.0474,2025-09-01,-2.3706,2025-11-01
2025-09-01,East Midlands,asking_rightmove,291578,0.04,0.9,68,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,291440,-0.3,,,,,-0.5659,2025-10-01,-3.1926,2025-12-01
