hypothesis_id,kind,params_json,ready,notes,lineage_len,parent_ids
nn_llm_deepseek_c1_103,mlp,"{""hidden_layers"": [12, 6], ""activation"": ""tanh"", ""lr"": 0.0057354592486556985, ""steps"": 1188, ""l2"": 0.0001485738393075655, ""batch_size"": 128, ""seed"": 3166, ""train_n"": 4465, ""train_mse"": 16884.9453125, ""train_backend"": ""torch"", ""_feat_mean"": [1.9304143337066133, 10.802082866741323, 1.9292049272116525, 1.9268980963045974, 1.923605823068316, 107.7036954087346, 169.3858902575588, 6.989389787234042, 120.0], ""_feat_std"": [3.3776059072712856, 10.790177510683407, 3.3780508728150394, 3.3790103555474347, 3.3802036139446257, 106.61949905495314, 262.751965400133, 4.328333410974511, 1e-06], ""architecture"": ""9\u219212\u21926\u21921"", ""mutation_summary"": ""From nn_const_cal_09: changed method from linear neural head to neural network"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 35.1% over the 10-year window (almost the same for every case)""}",True,mlp_arch=9→12→6→1 act=tanh backend=torch n=4465 mse=16884.9453125,7,nn_const_cal_09|param_const_cal_06
nn_llm_grok_c4_102,mlp,"{""hidden_layers"": [24, 12], ""activation"": ""tanh"", ""lr"": 0.0035, ""steps"": 2000, ""l2"": 0.0002, ""batch_size"": 128, ""seed"": 4242, ""train_n"": 4465, ""train_mse"": 16790.177734375, ""train_backend"": ""torch"", ""_feat_mean"": [1.9304143337066133, 10.802082866741323, 1.9292049272116525, 1.9268980963045974, 1.923605823068316, 107.7036954087346, 169.3858902575588, 6.989389787234042, 120.0], ""_feat_std"": [3.3776059072712856, 10.790177510683407, 3.3780508728150394, 3.3790103555474347, 3.3802036139446257, 106.61949905495314, 262.751965400133, 4.328333410974511, 1e-06], ""architecture"": ""9\u219224\u219212\u21921"", ""mutation_summary"": ""Merged ideas from nn_const_cal_09 and nn_llm_deepseek_c1_103 into a neural net (neural network) for house-price change"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 64.7% over the 10-year window (almost the same for every case)""}",True,mlp_arch=9→24→12→1 act=tanh backend=torch n=4465 mse=16790.177734375,8,nn_const_cal_09|nn_llm_deepseek_c1_103
nn_const_cal_09,linear_nn,"{""l2"": 0.0, ""target_total_return_pct"": 25.141000000000002, ""calibrated"": true, ""target_S"": 0.5, ""achieved_S"": 0.5007131773539798, ""calibrated_level_pct"": 25.141000000000002, ""mutation_summary"": ""Seed hypothesis (no parents)"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 25.1% over the 10-year window (almost the same for every case)""}",True,calibrated linear_nn constant≈25.1% over 10y,6,
nn_llm_claude_c5_101,mlp,"{""hidden_layers"": [32, 16], ""activation"": ""relu"", ""lr"": 0.0018, ""steps"": 2200, ""l2"": 0.0009, ""batch_size"": 64, ""seed"": 4471, ""train_n"": 4465, ""train_mse"": 6081.2958984375, ""train_backend"": ""torch"", ""_feat_mean"": [1.9304143337066133, 10.802082866741323, 1.9292049272116525, 1.9268980963045974, 1.923605823068316, 107.7036954087346, 169.3858902575588, 6.989389787234042, 120.0], ""_feat_std"": [3.3776059072712856, 10.790177510683407, 3.3780508728150394, 3.3790103555474347, 3.3802036139446257, 106.61949905495314, 262.751965400133, 4.328333410974511, 1e-06], ""architecture"": ""9\u219232\u219216\u21921"", ""mutation_summary"": ""From nn_llm_deepseek_c1_103: network shape [12, 6]\u2192[32, 16]; activation tanh\u2192relu; tweaked activation=relu, batch_size=64, hidden_layers=[32, 16], l2 0\u21920"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 223.3% over the 10-year window (median 238.8%, typically from 77.7% to 382.6%)""}",True,mlp_arch=9→32→16→1 act=relu backend=torch n=4465 mse=6081.2958984375,8,nn_llm_deepseek_c1_103
nn_llm_grok_c5_102,mlp,"{""hidden_layers"": [48, 24, 12], ""activation"": ""relu"", ""lr"": 0.002, ""steps"": 2500, ""l2"": 0.0001, ""batch_size"": 128, ""seed"": 5151, ""train_n"": 4465, ""train_mse"": 2850.572265625, ""train_backend"": ""torch"", ""_feat_mean"": [1.9304143337066133, 10.802082866741323, 1.9292049272116525, 1.9268980963045974, 1.923605823068316, 107.7036954087346, 169.3858902575588, 6.989389787234042, 120.0], ""_feat_std"": [3.3776059072712856, 10.790177510683407, 3.3780508728150394, 3.3790103555474347, 3.3802036139446257, 106.61949905495314, 262.751965400133, 4.328333410974511, 1e-06], ""architecture"": ""9\u219248\u219224\u219212\u21921"", ""mutation_summary"": ""Merged ideas from nn_const_cal_09 and nn_llm_grok_c4_102 into a neural net (neural network) for house-price change"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 208.4% over the 10-year window (median 237.2%, typically from 29.4% to 314.8%)""}",True,mlp_arch=9→48→24→12→1 act=relu backend=torch n=4465 mse=2850.572265625,9,nn_const_cal_09|nn_llm_grok_c4_102
nn_llm_offline_heuristic_c5_104,mlp,"{""hidden_layers"": [16], ""activation"": ""tanh"", ""lr"": 0.007256402742544658, ""steps"": 1002, ""l2"": 1.2205213385090553e-05, ""batch_size"": 64, ""seed"": 472, ""train_n"": 4465, ""train_mse"": 11215.2724609375, ""train_backend"": ""torch"", ""_feat_mean"": [1.9304143337066133, 10.802082866741323, 1.9292049272116525, 1.9268980963045974, 1.923605823068316, 107.7036954087346, 169.3858902575588, 6.989389787234042, 120.0], ""_feat_std"": [3.3776059072712856, 10.790177510683407, 3.3780508728150394, 3.3790103555474347, 3.3802036139446257, 106.61949905495314, 262.751965400133, 4.328333410974511, 1e-06], ""architecture"": ""9\u219216\u21921"", ""mutation_summary"": ""From nn_const_cal_09: changed method from linear neural head to neural network"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 91.5% over the 10-year window (median 92%, typically from 87.1% to 92.9%)""}",True,mlp_arch=9→16→1 act=tanh backend=torch n=4465 mse=11215.2724609375,7,nn_const_cal_09
nn_llm_claude_c5_105,mlp,"{""hidden_layers"": [24, 12], ""activation"": ""tanh"", ""lr"": 0.0032, ""steps"": 2000, ""l2"": 0.0008, ""batch_size"": 64, ""seed"": 4471, ""train_n"": 4465, ""train_mse"": 22589.734375, ""train_backend"": ""torch"", ""_feat_mean"": [1.9304143337066133, 10.802082866741323, 1.9292049272116525, 1.9268980963045974, 1.923605823068316, 107.7036954087346, 169.3858902575588, 6.989389787234042, 120.0], ""_feat_std"": [3.3776059072712856, 10.790177510683407, 3.3780508728150394, 3.3790103555474347, 3.3802036139446257, 106.61949905495314, 262.751965400133, 4.328333410974511, 1e-06], ""architecture"": ""9\u219224\u219212\u21921"", ""mutation_summary"": ""Merged ideas from nn_llm_deepseek_c1_103 and nn_const_cal_09 into a neural net (neural network) for house-price change"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 59.3% over the 10-year window (almost the same for every case)""}",True,mlp_arch=9→24→12→1 act=tanh backend=torch n=4465 mse=22589.734375,8,nn_llm_deepseek_c1_103|nn_const_cal_09
nn_llm_deepseek_c5_103,mlp,"{""hidden_layers"": [10, 5], ""activation"": ""tanh"", ""lr"": 0.015292013734056885, ""steps"": 920, ""l2"": 4.7784923778903695e-05, ""batch_size"": 128, ""seed"": 3650, ""train_n"": 4465, ""train_mse"": 18898.5859375, ""train_backend"": ""torch"", ""_feat_mean"": [1.9304143337066133, 10.802082866741323, 1.9292049272116525, 1.9268980963045974, 1.923605823068316, 107.7036954087346, 169.3858902575588, 6.989389787234042, 120.0], ""_feat_std"": [3.3776059072712856, 10.790177510683407, 3.3780508728150394, 3.3790103555474347, 3.3802036139446257, 106.61949905495314, 262.751965400133, 4.328333410974511, 1e-06], ""architecture"": ""9\u219210\u21925\u21921"", ""mutation_summary"": ""Merged ideas from nn_llm_deepseek_c1_103 and param_llm_grok_c3_2 into a neural net (neural network) for house-price change"", ""prediction_summary"": ""When run on London, forecasts house prices change by about 57.6% over the 10-year window (almost the same for every case)""}",True,mlp_arch=9→10→5→1 act=tanh backend=torch n=4465 mse=18898.5859375,8,nn_llm_deepseek_c1_103|param_llm_grok_c3_2
