date,area,property_scope,avg_rent_gbp_pcm,avg_mortgage_payment_gbp_pcm,rent_minus_mortgage_gbp_pcm,note,source,collected_as_of
2023-08-01,UK,FTB_2bed_or_fewer,1186,1281,-95,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2023-07-01,UK,FTB_2bed_or_fewer,1170,1295,-125,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2023-06-01,UK,FTB_2bed_or_fewer,1159,1219,-60,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2023-05-01,UK,FTB_2bed_or_fewer,1147,1140,7,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2023-04-01,UK,FTB_2bed_or_fewer,1138,1121,17,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2023-03-01,UK,FTB_2bed_or_fewer,1127,1131,-4,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2023-02-01,UK,FTB_2bed_or_fewer,1115,1138,-23,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2023-01-01,UK,FTB_2bed_or_fewer,1102,1168,-66,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-12-01,UK,FTB_2bed_or_fewer,1095,1206,-111,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-11-01,UK,FTB_2bed_or_fewer,1093,1265,-172,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-10-01,UK,FTB_2bed_or_fewer,1085,1294,-209,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-09-01,UK,FTB_2bed_or_fewer,1073,1091,-18,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-08-01,UK,FTB_2bed_or_fewer,1056,1050,6,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-07-01,UK,FTB_2bed_or_fewer,1043,1024,19,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-06-01,UK,FTB_2bed_or_fewer,1033,980,53,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-05-01,UK,FTB_2bed_or_fewer,1026,944,82,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
2022-04-01,UK,FTB_2bed_or_fewer,1017,912,105,mortgage 90% LTV 2y fixed; 10% deposit basis as published,rightmove_hpi,2026-08-09
